品番,商品名,税込価格,税抜価格,本体色,最小発注数,商品サイズ,個装形態,素材,備考,印刷・範囲,商品説明,シルク１色,シルク２色,シルク３色,回転シルク1色,回転シルク2色,回転シルク3色,インクジェット,昇華転写,素押し・箔押し,台紙フルカラー,熱転写Sサイズ,熱転写最大サイズ,パッド1色,レーザー,カテゴリ,ターゲット,目的シーン
GW-1610,5段プリーツマスク　くもりしらず　レギュラー,¥132,¥120,単色,30個,マスクサイズ/約165×90（mm）、パッケージサイズ/130×228（mm）,,不織布（PP）他,セット内容/すきまフィッター1本・マスク5枚・取説付（袋裏面）,印刷不可,"BFE99％カットフィルターを使用した5段プリーツマスクと、鼻の周囲の隙間を埋めるすきまフィッターのセットです。
メガネをくもりにくくするすきまフィッターを取り付けることで、移動中など視界をクリアに保つことが出来ます。また、マスクは耳が痛くなりにくい平ゴムを使用しているので、長時間の着用も苦になりません。男女兼用でお使い頂けるレギュラーサイズのマスクです。

※使用上の注意※
・有毒ガス、有害粉塵に対しての効果はありません。
・本品は使い切りマスクのため、洗濯後の再利用は出来ません。
・ノーズフィッター（マスク内にセット済み）は、注意してご使用下さい。
・付属のすきまフィッターを使用される場合は、すきまフィッターの面ファスナー部分をマスク裏部に軽く押し付けて固定してからご使用ください。",,,,,,,,,,,,,,,除菌対策商品,家族,
GW-1611,5段プリーツマスク　くもりしらず　やや小さめ,¥132,¥120,単色,30個,マスクサイズ/約150×90（mm）、パッケージサイズ/130×228（mm）,,不織布（PP）他,セット内容/すきまフィッター1本・マスク5枚・取説付（袋裏面）,印刷不可,"BFE99％カットフィルターを使用した5段プリーツマスクと、鼻の周囲の隙間を埋めるすきまフィッターのセットです。
メガネをくもりにくくするすきまフィッターを取り付けることで、移動中など視界をクリアに保つことが出来ます。また、耳が痛くなりにくい平ゴムを使用しているので、長時間の着用も苦になりません。女性やお子様にもお使い頂けるやや小さめサイズとなっております。

※使用上の注意※
・有毒ガス、有害粉塵に対しての効果はありません。
・本品は使い切りマスクのため、洗濯後の再利用は出来ません。
・ノーズフィッター（マスク内にセット済み）は、注意してご使用下さい。
・付属のすきまフィッターを使用される場合は、すきまフィッターの面ファスナー部分をマスク裏部に軽く押し付けて固定してからご使用ください。",,,,,,,,,,,,,,,除菌対策商品,家族,
LC-0027,マスク用すきまフィッター　5本入り,¥132,¥120,単色,30個,145×16×10（mm） 、パッケージ/105×203（mm）、5本入り,OPP袋,EVA樹脂　他,取説付（袋裏面）※マスクは別売りです。,印刷不可,"鼻周りの隙間をしっかり埋めてくれる、メガネが曇りにくい不織布マスク用すきまフィッターです。
マスク内に立体空間ができて呼吸がしやすく、メガネが曇りにくくなります。洗って繰り返し使用できます。（3～4回を目安にご使用ください。）
※マスクから取り外し、洗剤でやさしく手洗いをし陰干ししてください。
製品に痛みが現れた場合は新しいものと交換してください。",,,,,,,,,,,,,,,除菌対策商品,家族,
TF-0005,フェアトレードコットン巾着（S）,¥237,¥216,ナチュラル,30個,約W140×H190（mm）,,コットン,フェアトレードオーガニックコットン使用,※デザインテンプレートに記載があります。ダウンロードお願いします。,"フェアトレードコットン素材の巾着です。
生地、紐、全ての素材にフェアトレード認証のオーガニックコットンを使用しています。サイズ感はモバイルグッズや化粧小物、ポケットサーモボトルがぴったりの大きさです。同じ仕様でMサイズLサイズもご用意しております。単色印刷からフルカラー印刷まで対応が可能なので、よりオリジナル性の高いグッズをおつくり頂けます。アパレルブランドのオリジナル巾着やギフト包装のショッパーとしてだけではなく、SDGs関連キャンペーンの販促品としてもおすすめの商品です。

▼フェアトレードとは？
フェアトレードとは発展途上国の原料や製品を適正な価格で購入することで、そのような国の人々の生活改善や自治るを支援する活動です。当製品に使用されているコットンもフェアトレード認証生産者から基準に従って調達された認証コットンです。

▼国際フェアトレード認証コットンラベルとは？
国際フェアトレード認証ラベルは、その原料が生産されてから、輸出入、加工、製造工程を経て「国際フェアトレード認証製品」として完成品となるまでの各工程で、国際フェアトレードラベル機構（Fairtrade International）が定めた国際フェアトレード基準が守られていることを証明するラベルです。つまり、この商品はフェアトレードだという証明書や目印のような役割をしています。",B,,,,,,J,,,,B,,,,トート・エコバッグ,,
TF-0006,フェアトレードコットン巾着（M）,¥264,¥240,ナチュラル,30個,約W220×H290（mm）,,コットン,フェアトレードオーガニックコットン使用,※デザインテンプレートに記載があります。ダウンロードお願いします。,"フェアトレードコットン素材の巾着です。
生地、紐、全ての素材にフェアトレード認証のオーガニックコットンを使用しています。サイズ感はハンドタオルや携帯用シャンプーなどのトラベルセットを入れるのにぴったりの大きさです。同じ仕様でSサイズLサイズもご用意しております。単色印刷からフルカラー印刷まで対応が可能なので、よりオリジナル性の高いグッズをおつくり頂けます。ギフト包装のショッパーやSDGs関連キャンペーンの販促品としてもおすすめの商品です。

▼フェアトレードとは？
フェアトレードとは発展途上国の原料や製品を適正な価格で購入することで、そのような国の人々の生活改善や自治るを支援する活動です。当製品に使用されているコットンもフェアトレード認証生産者から基準に従って調達された認証コットンです。

▼国際フェアトレード認証コットンラベルとは？
国際フェアトレード認証ラベルは、その原料が生産されてから、輸出入、加工、製造工程を経て「国際フェアトレード認証製品」として完成品となるまでの各工程で、国際フェアトレードラベル機構（Fairtrade International）が定めた国際フェアトレード基準が守られていることを証明するラベルです。つまり、この商品はフェアトレードだという証明書や目印のような役割をしています。",B,,,,,,J,,,,B,,,,トート・エコバッグ,,
TF-0007,フェアトレードコットン巾着（L）,¥306,¥278,ナチュラル,30個,約W280×H370（mm）,,コットン,フェアトレードオーガニックコットン使用,※デザインテンプレートに記載があります。ダウンロードお願いします。,"フェアトレードコットン素材の巾着です。
生地、紐、全ての素材にフェアトレード認証のオーガニックコットンを使用しています。サイズ感はTシャツやフェイスタオルなどがぴったりの大きさです。同じ仕様でSサイズMサイズもご用意しております。単色印刷からフルカラー印刷まで対応が可能なので、よりオリジナル性の高いグッズをおつくり頂けます。SDGs関連のキャンペーン販促品やギフト包装のショッパー、旅行時の仕分け袋としてもオススメの商品です。

▼フェアトレードとは？
フェアトレードとは発展途上国の原料や製品を適正な価格で購入することで、そのような国の人々の生活改善や自治るを支援する活動です。当製品に使用されているコットンもフェアトレード認証生産者から基準に従って調達された認証コットンです。

▼国際フェアトレード認証コットンラベルとは？
国際フェアトレード認証ラベルは、その原料が生産されてから、輸出入、加工、製造工程を経て「国際フェアトレード認証製品」として完成品となるまでの各工程で、国際フェアトレードラベル機構（Fairtrade International）が定めた国際フェアトレード基準が守られていることを証明するラベルです。つまり、この商品はフェアトレードだという証明書や目印のような役割をしています。",B,,,,,,J,,,,B,,,,トート・エコバッグ,,
TM-0059,スライドアクリルミラー　スクエア,¥147,¥134,ブラック/ホワイト,30個,65×80×8（mm）,PE袋､エアパッキン,アクリル・ガラス　他,-,※デザインテンプレートに記載があります。ダウンロードお願いします。,"ユニセックス感のあるスクエアタイプのアクリルミラーです。
ボールチェーン付なので鞄に付けて携帯しやすく、外出先の身だしなみチェックアイテムとして便利です。厚さ8㎜と薄いので郵送できるノベルティとしてもおすすめです。

※割れものですので取り扱いにご注意ください。",B,B,A,,,,D,,,,,,,,記念品・贈答品,学生,
TM-0060,スライドアクリルミラー　ラウンド,¥147,¥134,ブラック/ホワイト,30個,φ78×8（mm）,PE袋､エアパッキン,アクリル・ガラス　他,-,※デザインテンプレートに記載があります。ダウンロードお願いします。,"スライド開閉タイプのチャームとしてバッグに付けられる、ラウンドタイプのアクリルミラーです。
しっかり見えるサイズで使い勝手も良く、外出先でかわいく身だしなみチェック出来ます。厚さ8㎜と薄いので郵送できるノベルティとしてもおすすめです。

※割れものですので取り扱いにご注意ください。",B,B,A,,,,D,,,,,,,,記念品・贈答品,学生,
TR-1166,オーガニックコットンネット巾着（M）,¥184,¥168,ナチュラル,30個,約W200×H200（mm）,,コットン（5oz）,-,※デザインテンプレートに記載があります。ダウンロードお願いします。,"全ての生地にオーガニックコットンを使用したネットタイプの巾着です。
本体上部がネット素材のため、中に入れるものを見せて収納することが可能です。また、本体下部は生地部となっているため、中身が飛び出る心配もなくお使いいただけます。サイズ感はモバイルグッズからハンドタオルなどがぴったりの大きさで、同型商品にLサイズもございます。

本体下部に単色印刷からフルカラー印刷まで名入れが可能で、企業ロゴを入れれば販促効果もばっちりです。オリジナルギフトパッケージや物販品としてもおすすめの商品です。",B,,,,,,K,,,,,A,,,トート・エコバッグ,,
TR-1167,オーガニックコットンネット巾着（L）,¥253,¥230,ナチュラル,30個,約W260×H300（mm）,,コットン（5oz）,-,※デザインテンプレートに記載があります。ダウンロードお願いします。,"全ての生地にオーガニックコットンを使用したネットタイプの巾着です。
本体上部がネット素材のため、中に入れるものを見せて収納することが可能です。また、本体下部は生地部となっているため、中身が飛び出る心配もなくお使いいただけます。Tシャツが入る大きめサイズで、同型商品にMサイズもございます。

本体下部に単色印刷からフルカラー印刷まで名入れが可能で、企業ロゴを入れれば販促効果もばっちりです。オリジナルギフトパッケージや物販品、旅行時の仕分け袋としてもおすすめの商品です。",B,,,,,,K,,,,,A,,,トート・エコバッグ,,
TR-1171,オーガニックコットンフラットショルダートート,¥264,¥240,ブラック,30個,本体/約W330×H390（mm）、持ち手/約W25×H650（mm）,,コットン（3.5oz）,-,※デザインテンプレートに記載があります。ダウンロードお願いします。,"オーガニックコットンを使用した肩掛けタイプのトートです。
このアイテムはGOTS認証を取得した工場で製造された、オーガニックコットンを使用しています。B4のノートが入るサイズ感で日常使いしやすい大きさとなっています。名入れも単色印刷からフルカラー印刷まで可能ですので、オリジナリティあふれるグッズをおつくり頂けます。展示会のノベルティやサブバッグとしておすすめのアイテムです。",B,,,,,,,,,,A,A,,,トート・エコバッグ,,
